Time,qL_reach_279,qL_reach_196,qL_reach_276,qL_reach_377
01-Jan-2017 12:00,0.516474235064818,0.611269697321368,0.10088242377609,0.0616146662005395
02-Jan-2017 12:00,0.52012055596618,0.499831102979614,0.142909387515155,0.0573838666721921
03-Jan-2017 12:00,0.475874679931228,0.325553120448827,0.143428131480065,0.0513607663811398
04-Jan-2017 12:00,0.335468266942682,0.203774211794431,0.126124877480895,0.0444538611648513
05-Jan-2017 12:00,0.241831223637685,0.130535239824032,0.111376248442764,0.0387140587260748
06-Jan-2017 12:00,0.177890718907384,0.086016928886236,0.0987603297502662,0.0339217368421994
07-Jan-2017 12:00,0.133375709095987,0.0586468004665862,0.0879394460455741,0.0299030820863324
08-Jan-2017 12:00,0.101803274499056,0.0416163791009397,0.0786307330087668,0.0265175266808553
09-Jan-2017 12:00,0.0790253710318929,0.0308843082207398,0.0705979483779334,0.0236515474072032
10-Jan-2017 12:00,0.0623443699065359,0.0240279429294711,0.063643950177213,0.0212133865730764
11-Jan-2017 12:00,0.04996690828534,0.0195822610592283,0.0576041123686479,0.0191287253400517
12-Jan-2017 12:00,0.0406761969524102,0.0166530961559585,0.05428953761527,0.0176101475620495
13-Jan-2017 12:00,0.0679134427251671,0.0209955473023904,0.0645886961324179,0.0175659302300476
14-Jan-2017 12:00,0.0551575113890193,0.0171067108081666,0.059061134829839,0.0161547680688745
15-Jan-2017 12:00,0.0448044620675886,0.0147971838451516,0.0539178264905933,0.0148719863179459
16-Jan-2017 12:00,0.0368890691301344,0.0133075094126114,0.0493777705813569,0.0137396827857089
17-Jan-2017 12:00,0.0307987475152579,0.0123275277449316,0.0453615123995493,0.0127361763425454
18-Jan-2017 12:00,0.0260822825594251,0.0116670779848686,0.0417986964834883,0.0118429891353902
19-Jan-2017 12:00,0.0224071019677383,0.0112085835687173,0.0386287813960939,0.0110446211823402
20-Jan-2017 12:00,0.0195263450437286,0.0108792592873467,0.0358000779807642,0.010328131239264
21-Jan-2017 12:00,0.0172551292807252,0.0106327101485316,0.033268296132239,0.00968263632256827
22-Jan-2017 12:00,0.0154541959528225,0.010440503317313,0.0309956995610842,0.00909901518747858
23-Jan-2017 12:00,0.0140179682325119,0.0102847755403169,0.0289499802749618,0.008569563952286
24-Jan-2017 12:00,0.0128659253181897,0.010154369740394,0.0271034320091606,0.00808775329454876
25-Jan-2017 12:00,0.0119362770629975,0.0100411528706799,0.0254321643933909,0.00764802447438222
26-Jan-2017 12:00,0.0111814338489866,0.00994026847703323,0.0239156156420235,0.00724562348406445
27-Jan-2017 12:00,0.0105645572287881,0.00984833378644833,0.0225360048341402,0.00687646782243683
28-Jan-2017 12:00,0.010057032948608,0.00976332930547669,0.02127794455486,0.00653703680258678
29-Jan-2017 12:00,0.0096364821964673,0.00968295237288762,0.020128000785138,0.00622427553378533
30-Jan-2017 12:00,0.0125615704144677,0.00960625948567612,0.0258218080152222,0.00691575793567495
31-Jan-2017 12:00,0.0215605768587818,0.00953242793169549,0.0282257829655196,0.00726944738667988
01-Feb-2017 12:00,0.0240590939670114,0.00946192568867388,0.0271983861070438,0.00707140496147909
02-Feb-2017 12:00,0.0385660218961366,0.00945416378250818,0.0327612174438463,0.00749429305774253
03-Feb-2017 12:00,0.079470894345095,0.00947561396063521,0.0371653842627401,0.00874610567191968
04-Feb-2017 12:00,0.0983876264949105,0.0214371566457701,0.0441935120960612,0.00975020261838365
05-Feb-2017 12:00,0.202961316117313,0.128122766820993,0.260660387684684,0.0504429475889822
06-Feb-2017 12:00,0.18168999642484,0.116613782634769,0.235987526179431,0.045924875983447
07-Feb-2017 12:00,0.136486427849814,0.0761413020200101,0.207862901060729,0.0407606790262476
08-Feb-2017 12:00,0.104581010244623,0.0522659983828937,0.183719339270324,0.0363628587417483
09-Feb-2017 12:00,0.0817029597749013,0.0379088924668432,0.162950500180963,0.0325994040585281
10-Feb-2017 12:00,0.0649787832263792,0.0291035725677983,0.145114301843406,0.0293650784610475
11-Feb-2017 12:00,0.0525376947297124,0.0236092736892441,0.129746575917503,0.0265719525308587
12-Feb-2017 12:00,0.0431447889992026,0.0201316594149352,0.116462871663353,0.0241478017726095
13-Feb-2017 12:00,0.0359671384326247,0.0179011194957068,0.104942337172156,0.0220333774927492
14-Feb-2017 12:00,0.0304277137611253,0.0164542079769144,0.0949170754498984,0.0201800467754861
15-Feb-2017 12:00,0.0261112418627779,0.0155067192212349,0.0861630262826363,0.0185477359135852
16-Feb-2017 12:00,0.0227192227185919,0.0148808531945474,0.0784923806991962,0.0171033400517871
17-Feb-2017 12:00,0.0512292283436585,0.0144661818465762,0.0856324873991194,0.0180113896337142
18-Feb-2017 12:00,0.0431573000559869,0.0142163972776148,0.0782026176918468,0.0167618339669924
19-Feb-2017 12:00,0.0358827850524059,0.0141213268649043,0.0715140315284884,0.0155794043895512
20-Feb-2017 12:00,0.0303154495142253,0.0140930613145046,0.0656032582625018,0.0145145136400748
21-Feb-2017 12:00,0.0260015046405058,0.0140873188231912,0.0603592867361129,0.0135511279613118
22-Feb-2017 12:00,0.0226330567756868,0.0140954392617351,0.0558140515746133,0.0126769826785169
23-Feb-2017 12:00,0.0199869865204898,0.0141096646389423,0.0516346496336182,0.0118813988599139
24-Feb-2017 12:00,1.0212856785341,0.554514692840045,0.229075275418395,0.07850680963453
25-Feb-2017 12:00,1.00935439373729,0.358870245578368,0.220927114402632,0.0696850948366475
26-Feb-2017 12:00,0.663245379608548,0.226358295813673,0.19648551683816,0.0610453523263065
27-Feb-2017 12:00,0.449626068808928,0.147108935456798,0.175467422889364,0.0537877302633184
28-Feb-2017 12:00,0.326024678235112,0.105834841712903,0.161199515044936,0.0478799814795841
01-Mar-2017 12:00,0.235741386373107,0.0776297142257162,0.145212292615911,0.0426464178304233
02-Mar-2017 12:00,0.17555709695568,0.194495683168576,0.133677643621421,0.0382651981682561
03-Mar-2017 12:00,0.133401860639507,0.128917130891646,0.121293798696617,0.0344391756053914
04-Mar-2017 12:00,0.207404294852534,0.555985725896735,0.141399313712254,0.0352053472307071
05-Mar-2017 12:00,0.337841524083215,1.56086848988973,0.193381243080241,0.0373880730586165
06-Mar-2017 12:00,0.733192776757417,2.88571426281884,0.353397150498149,0.0647155242303505
07-Mar-2017 12:00,0.485211360322811,1.75293116052401,0.313492887490224,0.0578579330093029
08-Mar-2017 12:00,0.332751481222239,1.08071350184299,0.279259447729833,0.0520074674116694
09-Mar-2017 12:00,0.237255508497503,0.677017591845759,0.2498328924035,0.0469940574628867
10-Mar-2017 12:00,0.17572404048125,0.434548371336204,0.224422996185095,0.0426664351374149
11-Mar-2017 12:00,0.134677895867544,0.287264021488292,0.202398451279671,0.0389073173313907
