Time,Q_reach_279,Q_reach_196,Q_reach_276,Q_reach_377
01-Jan-2017 12:00,94.6207442532399,21.8469524119642,11.9263080021598,123.60923818136
02-Jan-2017 12:00,93.4042539196188,18.5335421148214,10.2331791800029,139.432970271769
03-Jan-2017 12:00,80.2386737093018,15.875420292434,7.9660115753633,121.989997431753
04-Jan-2017 12:00,60.4862385099937,11.3485885295792,6.01821552731267,94.3094013110075
05-Jan-2017 12:00,45.0798293786016,8.22262211708589,4.71601703286844,71.1827862738382
06-Jan-2017 12:00,34.3386548294504,6.17390598758402,3.83191531527949,54.5431585360252
07-Jan-2017 12:00,26.862919851479,4.79984138489063,3.20966832507308,42.8209730133805
08-Jan-2017 12:00,21.5525108197494,3.85363141341839,2.75572564846534,34.4454141588847
09-Jan-2017 12:00,17.7114899884382,3.18572454174838,2.41324509412922,28.3492618905207
10-Jan-2017 12:00,14.8514235668328,2.70339712325242,2.14731803895805,23.8047298023039
11-Jan-2017 12:00,12.683555456089,2.34763720496804,1.93437948580336,20.3497163869575
12-Jan-2017 12:00,11.1399554266375,2.13180809431779,1.87271375157202,17.9701031720575
13-Jan-2017 12:00,12.9028517672996,3.85969776631587,6.54344986398605,26.995725211123
14-Jan-2017 12:00,11.8204495434978,3.38595633723273,6.01978110148521,25.4164622332624
15-Jan-2017 12:00,10.3265009979539,2.84834941027967,4.71043204767393,21.2680424414695
16-Jan-2017 12:00,9.08484186527996,2.45413476956819,3.78693103416582,17.916294458533
17-Jan-2017 12:00,8.14798637290535,2.1593530788258,3.15712178015705,15.5034691746206
18-Jan-2017 12:00,7.45881447203301,2.02496010272801,2.7029766574321,13.7594793913781
19-Jan-2017 12:00,6.82060566323979,1.83987693095418,2.3645783029882,12.3692450497507
20-Jan-2017 12:00,6.29516298131324,1.69250262742452,2.10336702143707,11.2573807532804
21-Jan-2017 12:00,5.89197941535349,1.5709283304448,1.89520242608175,10.3844610902921
22-Jan-2017 12:00,5.57301172940334,1.49717123748533,1.72485974899921,9.68713159396221
23-Jan-2017 12:00,5.27714050033164,1.41544374588231,1.58241544408782,9.08679162702638
24-Jan-2017 12:00,4.99315689115373,1.34447727200039,1.46117225904508,8.54761359543293
25-Jan-2017 12:00,4.74585356964595,1.28716433078694,1.35643825990821,8.0765317474197
26-Jan-2017 12:00,4.53678809676453,1.24045958715986,1.2648735363977,7.67137431247824
27-Jan-2017 12:00,4.35928115763939,1.20216986460441,1.18403448456509,7.32175430636128
28-Jan-2017 12:00,4.2063380345287,1.17007566460446,1.11208834193855,7.01682854877808
29-Jan-2017 12:00,4.07445950599996,1.14333900411414,1.04761347879677,6.74992919250693
30-Jan-2017 12:00,4.2938064412956,1.32789842288124,1.16006219658188,7.23281640700562
31-Jan-2017 12:00,4.77016753519105,1.53522322514461,1.75880601000845,8.98182921376126
01-Feb-2017 12:00,4.86100659074422,1.49099449920579,2.0144591995339,9.51976817345857
02-Feb-2017 12:00,6.59373820728279,2.58192483625039,3.64071887270755,15.1077264200369
03-Feb-2017 12:00,9.30351690511127,3.03776102897092,5.30740644756654,20.1504069274734
04-Feb-2017 12:00,19.8230458473192,8.63390223830482,14.8410001753102,48.1394323231719
05-Feb-2017 12:00,69.5207830612841,37.254904746131,59.7423273302619,179.782588523737
06-Feb-2017 12:00,83.7519515501695,37.5160821601314,44.5299048212643,182.450435587471
07-Feb-2017 12:00,65.3494868474562,26.2217920759366,29.5212720441849,138.724244744152
08-Feb-2017 12:00,46.5440838597021,18.1191504101183,20.1794721894346,98.5499437337104
09-Feb-2017 12:00,33.4027935010851,12.9169083786108,14.4177505031144,70.5832455917585
10-Feb-2017 12:00,24.8327641663288,9.52074021652959,10.7490706701461,52.2457935497095
11-Feb-2017 12:00,19.155765304139,7.24399445853499,8.33907952968645,40.1369344174369
12-Feb-2017 12:00,15.2496170369992,5.67998592809822,6.70317543940121,31.8996670082814
13-Feb-2017 12:00,12.510958438259,4.58160365364262,5.55376642076293,26.1422751144938
14-Feb-2017 12:00,10.5526597261271,3.7920254370202,4.71701244577653,22.0136768135031
15-Feb-2017 12:00,9.12125251537671,3.21324765164288,4.08611072267174,18.9738792619832
16-Feb-2017 12:00,8.05221472461952,2.78149275281796,3.59717831174439,16.6806310596145
17-Feb-2017 12:00,9.00501440246877,3.0079807468466,3.6503059978919,18.0106104149249
18-Feb-2017 12:00,9.6712089353435,2.67918734411232,3.30679644762218,17.951583681105
19-Feb-2017 12:00,8.90519139593866,2.33143575394583,2.99395492525577,16.6049894200891
20-Feb-2017 12:00,7.94585521599682,2.07636975130392,2.72905217126247,14.9898790815953
21-Feb-2017 12:00,7.16522275737332,1.88818276745887,2.5026987507524,13.5889460663832
22-Feb-2017 12:00,6.56616116353218,1.74662514573839,2.30845339142836,12.4597715672293
23-Feb-2017 12:00,6.11929325196228,1.64025831665421,2.14081311241057,11.5637497098736
24-Feb-2017 12:00,105.147814423131,29.3595259055373,9.7713490587889,141.640922596283
25-Feb-2017 12:00,145.819294403101,28.4158749715863,8.87501995198134,196.185787769795
26-Feb-2017 12:00,113.734847816946,19.7299159183214,7.21661026526873,166.0813249275
27-Feb-2017 12:00,80.5696188593257,13.7297973343818,6.00574716150067,123.326501788218
28-Feb-2017 12:00,67.9921510578195,15.7486675786354,9.94175965737209,109.140280182345
01-Mar-2017 12:00,53.8627183647263,12.9272625055302,8.09204651467462,88.5902503016447
02-Mar-2017 12:00,46.4878919332126,13.6032024377367,7.67918355568589,75.4422109507678
03-Mar-2017 12:00,36.5424645523376,10.2662724406888,6.26076094247611,60.6547206639836
04-Mar-2017 12:00,59.6931114313385,22.7626727139375,14.6628586156441,98.9202931284758
05-Mar-2017 12:00,96.4285542556089,41.9661304130841,33.8331419454006,178.68958085698
06-Mar-2017 12:00,209.86588455016,87.4431688259552,72.6986928330833,371.186521861138
07-Mar-2017 12:00,174.988093727513,62.1901158850609,51.9465586908617,324.394973773716
