Time,Q_reach_293,Q_reach_330,Q_reach_314,Q_reach_515
31-Oct-2023 00:15,3.51491299288269e-05,7.01698451955294e-05,2.64975444320679e-06,2.65172704310454e-10
31-Oct-2023 00:30,0.00012716051462931,0.000206352584785655,1.54338482380015e-05,1.8954803551454e-06
31-Oct-2023 00:45,0.000254908723123748,0.000353962145571211,4.65524298765478e-05,1.81611350031315e-05
31-Oct-2023 01:00,0.000434582267075518,0.000578291727085961,0.000102515300741438,8.6870759893248e-05
31-Oct-2023 01:15,0.000786119657456697,0.00108514739724016,0.000198238811789683,0.000279073072860598
31-Oct-2023 01:30,0.00160123582236534,0.00230678537967084,0.000380758741884235,0.000682909901002594
31-Oct-2023 01:45,0.00346433508559623,0.00506913403432541,0.000767709405059214,0.00136733153920274
31-Oct-2023 02:00,0.00738685651735168,0.0107230156306373,0.00160387467977698,0.00234739733698942
31-Oct-2023 02:15,0.0148611462311818,0.0211189529942074,0.00332945144448878,0.00357319195613088
31-Oct-2023 02:30,0.0277507164782222,0.0383625961519442,0.00663716043370637,0.00494744508398844
31-Oct-2023 02:45,0.0480055253647888,0.0644037230657653,0.012485985666183,0.00638898137169676
31-Oct-2023 03:00,0.0772804603448295,0.100603292767941,0.0220467852938881,0.00970876095382942
31-Oct-2023 03:15,0.116583475362059,0.147429460201633,0.0365776993736915,0.0150483458435225
31-Oct-2023 03:30,0.166068342556524,0.20437734811519,0.0572539890027663,0.0227818756596501
31-Oct-2023 03:45,0.225035948302692,0.270132849097931,0.086274917722253,0.0340201024246087
31-Oct-2023 04:00,0.309343975466514,0.352425978504278,0.144598770353194,0.0533099913522567
31-Oct-2023 04:15,0.724590422345458,0.676648496981974,0.330063181814094,0.0898833989568082
31-Oct-2023 04:30,1.64456489233986,1.80983567527075,0.679781623561444,0.15841768083445
31-Oct-2023 04:45,3.34326165973798,4.15584996694064,1.22946255641681,0.279983445614984
31-Oct-2023 05:00,5.93252212478157,7.38160780858876,2.11117610297757,0.482613816364732
31-Oct-2023 05:15,9.04211808135305,10.7777471541382,3.40703550914869,0.801220958599673
31-Oct-2023 05:30,12.2165118195537,13.9102308397534,5.12233704662717,1.27582035630244
31-Oct-2023 05:45,15.1899224104638,16.7058523244728,7.17499678854586,1.9473557758339
31-Oct-2023 06:00,17.8873527833675,19.1994303129397,9.44532721088396,2.85292782717891
31-Oct-2023 06:15,20.2928440189248,21.3943899170962,11.8171512835047,4.01969525874393
31-Oct-2023 06:30,22.4011063342813,23.2891553898053,14.194585501795,5.46445975397904
31-Oct-2023 06:45,24.2272156885233,24.9177707587079,16.5043252452029,7.19402567202946
31-Oct-2023 07:00,25.8174588632449,26.3508591978901,18.695885020492,9.2059502661053
31-Oct-2023 07:15,27.2448238692768,27.6793384461987,20.7425777108926,11.4892925573769
31-Oct-2023 07:30,28.5943249496148,28.99381474315,22.6412324618231,14.0248013381049
31-Oct-2023 07:45,29.9469210075285,30.3692139539204,24.4090610579105,16.7848696301407
31-Oct-2023 08:00,31.3689040428377,31.8593659883355,26.0779829287917,19.7338486351907
31-Oct-2023 08:15,32.9086989084218,33.4993366894107,27.6879970532306,22.829164106488
31-Oct-2023 08:30,34.5989164814348,35.310743294161,29.281282538639,26.0232905822277
31-Oct-2023 08:45,36.4600776237854,37.3059802339732,30.8979684634187,29.2663797392349
31-Oct-2023 09:00,38.5029373767248,39.4889697961559,32.5735820676697,32.5085303372355
31-Oct-2023 09:15,40.7278957562918,41.852231051146,34.3375362410712,35.7021821998471
31-Oct-2023 09:30,43.1220070402319,44.3723311652569,36.2118559460739,38.8043719112804
31-Oct-2023 09:45,45.6559801681864,47.0074322876551,38.2096943506024,41.7790275195115
31-Oct-2023 10:00,48.2833311006948,49.6983932106557,40.3336055772158,44.5994941762563
31-Oct-2023 10:15,50.9426055504804,52.373356426224,42.5741487454811,47.2500685316437
31-Oct-2023 10:30,53.5633401083263,54.9565912232414,44.9095092741832,49.7264384429826
31-Oct-2023 10:45,56.0749682147271,57.3793064655712,47.3066223195932,52.0352223654216
31-Oct-2023 11:00,58.4140318265239,59.5844944613172,49.7238410346268,54.1926600675215
31-Oct-2023 11:15,60.5283355108942,61.5288826578601,52.1145605857712,56.2225484949729
31-Oct-2023 11:30,62.3802302961632,63.1861354755539,54.4311799190875,58.1536725177701
31-Oct-2023 11:45,63.9483807574506,64.5471394047312,56.6286142153825,60.0170502060369
31-Oct-2023 12:00,65.2293708000819,65.618677548271,58.6680563686491,61.8432634740672
31-Oct-2023 12:15,66.2276499029371,66.4160087293997,60.5183124669251,63.6600577484075
31-Oct-2023 12:30,66.9602711210277,66.9615975110607,62.1573655741882,65.4903441802819
31-Oct-2023 12:45,67.4509708985206,67.2838961801275,63.5724414317098,67.3506924427241
31-Oct-2023 13:00,67.7277142354385,67.4134021071947,64.7595352113155,69.2503222721959
31-Oct-2023 13:15,67.8203429352076,67.3809249643437,65.7223223288294,71.1905918641972
31-Oct-2023 13:30,67.7584163654843,67.2153983078885,66.4707440932477,73.1650594590048
31-Oct-2023 13:45,67.5692328457137,66.9420913243834,67.019407100291,75.1602037689813
31-Oct-2023 14:00,67.2793870988062,66.5843232364477,67.3863502949385,77.1566999270238
31-Oct-2023 14:15,66.924426722705,66.1694894144057,67.5949723639056,79.1309498883642
31-Oct-2023 14:30,66.5024180524957,65.7069160443166,67.663305046163,81.0567118938424
31-Oct-2023 14:45,66.0326077302902,65.2062957645009,67.6104155136535,82.906796967523
31-Oct-2023 15:00,65.5298127828674,64.6838605472996,67.4542580804322,84.6547864707208
