Time,qL_reach_293,qL_reach_330,qL_reach_314,qL_reach_515
31-Oct-2023 00:15,0,0,0,0
31-Oct-2023 00:30,0,0,0,0
31-Oct-2023 00:45,0,0,0,0
31-Oct-2023 01:00,0,0,0,0
31-Oct-2023 01:15,0,0,0,0
31-Oct-2023 01:30,0,0,0,0
31-Oct-2023 01:45,0,0,0,0
31-Oct-2023 02:00,0,0,0,0
31-Oct-2023 02:15,0,0,0,0
31-Oct-2023 02:30,0,0,0,0
31-Oct-2023 02:45,0,0,0,0
31-Oct-2023 03:00,0,0,0,0.000494323206576993
31-Oct-2023 03:15,0,0,0,0.000714048123909172
31-Oct-2023 03:30,0,0,0,0.00093966986588194
31-Oct-2023 03:45,0,0,0.00588680772052352,0.000938749527228042
31-Oct-2023 04:00,0.0163471500816602,2.79647449609415e-17,0.0799010404307892,0.00093783051072725
31-Oct-2023 04:15,0.274759222204549,2.0858794091644e-05,0.359723386693502,0.000936912812906773
31-Oct-2023 04:30,0.459493989676974,2.51170476609173e-05,0.55809678708689,0.000935996430307822
31-Oct-2023 04:45,0.482585612705866,2.49187630875063e-05,0.583866663261162,0.000935081359485549
31-Oct-2023 05:00,0.494837761674636,2.47220437458297e-05,0.632467268490401,0.000934167597008983
31-Oct-2023 05:15,0.498397594934404,2.45268773904926e-05,0.631148419467015,0.00093325513946096
31-Oct-2023 05:30,0.501940337420822,2.43332517615876e-05,0.629416557927077,0.00093234398343806
31-Oct-2023 05:45,0.497377450977494,2.41411546959633e-05,0.624340998262684,0.000931434125550546
31-Oct-2023 06:00,0.492859626131618,2.39505741264893e-05,0.619189012144034,0.00113850955111804
31-Oct-2023 06:15,0.488386387875028,2.37614980812984e-05,0.614085806221971,0.00113742366052707
31-Oct-2023 06:30,0.483957266494251,2.35739146830342e-05,0.609030880881916,0.00113633922595381
31-Oct-2023 06:45,0.479571797508554,2.33878121481056e-05,0.604023741889355,0.0011352562438719
31-Oct-2023 07:00,0.475229521608744,2.32031787859457e-05,0.599063900329865,0.00113417471076868
31-Oct-2023 07:15,0.470929984596713,2.30200029982784e-05,0.594150872549834,0.00113309462314513
31-Oct-2023 07:30,0.466672737325722,2.2838273278389e-05,0.589284180097851,0.00113201597751582
31-Oct-2023 07:45,0.462457335641413,2.26579782104018e-05,0.584463349666773,0.00113093877040881
31-Oct-2023 08:00,0.458283340323538,2.24791064685629e-05,0.57968791303645,0.00112986299836565
31-Oct-2023 08:15,0.454150317028396,2.23016468165289e-05,0.5749574070171,0.00112878865794126
31-Oct-2023 08:30,0.450057836231975,2.21255881066607e-05,0.570271373393342,0.00112771574570389
31-Oct-2023 08:45,0.446005473173779,2.19509192793233e-05,0.565629358868853,0.00112664425823505
31-Oct-2023 09:00,0.441992807801344,2.17776293621914e-05,0.561030915011671,0.00112557419212947
31-Oct-2023 09:15,0.438019424715424,2.16057074695599e-05,0.556475598200113,0.00112450554399501
31-Oct-2023 09:30,0.434084913115843,2.143514280166e-05,0.551962969569312,0.00112343831045262
31-Oct-2023 09:45,0.430188866748007,2.1265924643981e-05,0.547492594958362,0.00112237248813628
31-Oct-2023 10:00,0.426330883850065,2.10980423665968e-05,0.543064044858075,0.00112130807369291
31-Oct-2023 10:15,0.422510567100703,2.0931485423499e-05,0.538676894359319,0.00112024506378234
31-Oct-2023 10:30,0.418727523567585,2.07662433519334e-05,0.534330723101956,0.00111918345507725
31-Oct-2023 10:45,0.414981364656407,2.06023057717434e-05,0.530025115224357,0.0011181232442631
31-Oct-2023 11:00,0.41127170606057,2.0439662384718e-05,0.525759659313494,0.00111706442803806
31-Oct-2023 11:15,0.40759816771147,2.02783029739444e-05,0.521533948355599,0.00111600700311297
31-Oct-2023 11:30,0.403960373729379,2.01182174031665e-05,0.517526184701756,0.00111495096621128
31-Oct-2023 11:45,0.400357952374926,1.99593956161483e-05,0.513377302551277,0.00111389631406898
31-Oct-2023 12:00,0.399189958382096,1.98018276360418e-05,0.509798299798898,0.00111284304343455
31-Oct-2023 12:15,0.395638866338482,1.96455035647605e-05,0.505722646911755,0.0011117911510689
